date,temperature
2024-04-01 00:00:00,22.1
2024-04-01 01:00:00,21.5
2024-04-01 02:00:00,20.8
2024-04-01 03:00:00,20.1
2024-04-01 04:00:00,19.6
2024-04-01 05:00:00,19.2
2024-04-01 06:00:00,19.8
2024-04-01 07:00:00,21.3
2024-04-01 08:00:00,23.4
2024-04-01 09:00:00,25.6
2024-04-01 10:00:00,27.2
2024-04-01 11:00:00,28.9
2024-04-01 12:00:00,30.1
2024-04-01 13:00:00,30.8
2024-04-01 14:00:00,31.2
2024-04-01 15:00:00,30.9
2024-04-01 16:00:00,29.7
2024-04-01 17:00:00,28.1
2024-04-01 18:00:00,26.5
2024-04-01 19:00:00,25.0
2024-04-01 20:00:00,24.1
2024-04-01 21:00:00,23.4
2024-04-01 22:00:00,22.8
2024-04-01 23:00:00,22.3
2024-04-02 00:00:00,21.9
2024-04-02 01:00:00,21.2
2024-04-02 02:00:00,20.5
2024-04-02 03:00:00,19.9
2024-04-02 04:00:00,19.3
2024-04-02 05:00:00,18.8
2024-04-02 06:00:00,19.4
2024-04-02 07:00:00,21.0
2024-04-02 08:00:00,23.1
2024-04-02 09:00:00,25.3
2024-04-02 10:00:00,27.5
2024-04-02 11:00:00,29.1
2024-04-02 12:00:00,30.4
2024-04-02 13:00:00,31.0
2024-04-02 14:00:00,31.5
2024-04-02 15:00:00,31.1
2024-04-02 16:00:00,30.0
2024-04-02 17:00:00,28.3
2024-04-02 18:00:00,26.7
2024-04-02 19:00:00,25.2
2024-04-02 20:00:00,24.3
2024-04-02 21:00:00,23.5
2024-04-02 22:00:00,22.9
2024-04-02 23:00:00,22.4
2024-04-03 00:00:00,21.7
2024-04-03 01:00:00,21.0
2024-04-03 02:00:00,20.3
2024-04-03 03:00:00,19.7
2024-04-03 04:00:00,19.1
2024-04-03 05:00:00,18.6
2024-04-03 06:00:00,19.2
2024-04-03 07:00:00,20.8
2024-04-03 08:00:00,22.9
2024-04-03 09:00:00,25.0
2024-04-03 10:00:00,27.1
2024-04-03 11:00:00,28.8
2024-04-03 12:00:00,30.0
2024-04-03 13:00:00,30.7
2024-04-03 14:00:00,31.1
2024-04-03 15:00:00,30.6
2024-04-03 16:00:00,29.4
2024-04-03 17:00:00,27.8
2024-04-03 18:00:00,26.2
2024-04-03 19:00:00,24.8
2024-04-03 20:00:00,23.9
2024-04-03 21:00:00,23.1
2024-04-03 22:00:00,22.5
2024-04-03 23:00:00,21.8
